id;transcription;domain;intent;slots
1037;Elimina as alarmas que tiña configuradas os martes pola tarde;alarm;cancel_alarm;alarm
1038;Cancela as alarmas que teño programas os mércores e os xoves ás dezasete horas;alarm;cancel_alarm;alarm
1039;Quero que elimines as alarmas dos venres pola mañá;alarm;cancel_alarm;alarm
1040;Podes eliminar unha alarma varios días?;alarm;cancel_alarm;alarm
1041;Quita a alarma que teño programada para dentro dunha hora;alarm;cancel_alarm;alarm
1042;Quita a alarma que tiña programada para o mércores oito ás dezanove horas;alarm;cancel_alarm;alarm
1043;Manda esa alarma ao carallo;alarm;cancel_alarm;alarm
1044;Elimina a alarma que soa, hostia xa!;alarm;cancel_alarm;alarm
1045;Que canceles a maldita alarma;alarm;cancel_alarm;alarm
1046;Xa non necesito a alarma dos mércores e venres ás cinco e media da tarde;alarm;cancel_alarm;alarm
1047;Quita a alarma para mañá ás seis e doce minutos da mañá;alarm;cancel_alarm;alarm
1048;Cancela tódalas alarmas que teño configuradas entre semana;alarm;cancel_alarm;alarm
1049;Ou cancelas esa alarma ou te tiro pola ventá;alarm;cancel_alarm;alarm
1050;Deus bendito, fai calar esa alarma do carallo!;alarm;cancel_alarm;alarm
1051;Vai chover hoxe?;weather;check_weather;place, date
1052;Que temperatura vai facer esta semana?;weather;check_weather;place, date
1053;Quero saber o tempo de hoxe;weather;check_weather;place, date
1054;Cal será a temperatura hoxe ao medio día?;weather;check_weather;place, date
1055;Que tempo vai facer en Vigo esta fin de semana?;weather;check_weather;place, date
1056;Dan tormenta en Santiago durante a semana?;weather;check_weather;place, date
1057;Dime o tempo na Guarda o xoves que vén;weather;check_weather;place, date
1058;Que tempo teremos na Coruña mañá?;weather;check_weather;place, date
1059;Que temperatura fará en Ourense a fin de semana?;weather;check_weather;place, date
1060;Teño que levar un chuvasqueiro a Ferrol mañá?;weather;check_weather;place, date
1061;Necesitarei chaqueta que abrigue mañá en Lugo?;weather;check_weather;place, date
1062;Dan moita calor en Ponteareas esta semana?;weather;check_weather;place, date
1063;Quero saber se no Grove choverá hoxe e mañá;weather;check_weather;place, date
1064;Choverá algo en Pontevedra hoxe?;weather;check_weather;place, date
1065;Podes confirmarme se dan malo en Muxía este venres?;weather;check_weather;place, date
1066;Dan bo en Portomarín este mércores?;weather;check_weather;place, date
1067;Fará moita calor en Paradela a próxima semana?;weather;check_weather;place, date
1068;Quero saber se en Tui vai chover durante esta semana;weather;check_weather;place, date
1069;Fará bo en Verín durante a fin de semana?;weather;check_weather;place, date
1070;Dáme o tempo en Viveiro para o luns e o martes, por favor;weather;check_weather;place, date
1071;Que tempo dan en Monforte de Lemos mañá?;weather;check_weather;place, date
1072;Como vai estar a cousa en Fisterra mañá pola tarde?;weather;check_weather;place, date
1073;Como vai estar o día en Betanzos?;weather;check_weather;place, date
1074;Dime o tempo no Porriño esta semana;weather;check_weather;place, date
1075;Dan bo tempo en Combarro mañá?;weather;check_weather;place, date
1076;Cal vai ser o tempo en Ribadeo?;weather;check_weather;place, date
1077;Quero saber o tempo en Mondoñedo, por favor;weather;check_weather;place, date
1078;Faime o favor de dicirme o tempo en Oia;weather;check_weather;place, date
1079;Cando vai chover en Muros?;weather;check_weather;place, date
1080;Cando subirán as temperaturas en Noia?;weather;check_weather;place, date
1081;Que mínimas dan en Cangas esta semana?;weather;check_weather;place, date
1082;Fará frío mañá en Barro?;weather;check_weather;place, date
1083;Dime as máximas en Castro Caldelas para o venres;weather;check_weather;place, date
1084;Fará frío hoxe en Narón?;weather;check_weather;place, date
1085;Sabes se poderemos ir á praia en Redondela esta fin de semana?;weather;check_weather;place, date
1086;Chove agora mesmo en Oleiros?;weather;check_weather;place, date
1087;Como estará o tempo mañá en Vilagarcía de Arousa?;weather;check_weather;place, date
1088;Que temperaturas haberá mañá en Lalín?;weather;check_weather;place, date
1089;Chove en Poio?;weather;check_weather;place, date
1090;Como está a cousa na Estrada hoxe?;weather;check_weather;place, date
1091;Fai calor en Sada agora mesmo?;weather;check_weather;place, date
1092;Hai néboa en Mos?;weather;check_weather;place, date
1093;Cando despexará en Verín?;weather;check_weather;place, date
1094;Hoxe pola noite refresca no Barco de Valdeorras?;weather;check_weather;place, date
1095;Dime o tempo en Sarria;weather;check_weather;place, date
1096;Esta semana choverá en Bueu?;weather;check_weather;place, date
1097;Quero saber o tempo en Foz;weather;check_weather;place, date
1098;Que tempo fai en Tomiño?;weather;check_weather;place, date
1099;Fará sol en Burela?;weather;check_weather;place, date
1100;Cando sairá o sol en Porto do Son?;weather;check_weather;place, date
1101;Chove en Chantada?;weather;check_weather;place, date
1102;Queremos saber o tempo en Celanova esta semana;weather;check_weather;place, date
1103;Sabes se vai chover esta tarde?;weather;check_weather;place, date
1104;Dan bo hoxe?;weather;check_weather;place, date
1105;Dan malo mañá?;weather;check_weather;place, date
1106;Que tempo dan para a fin de semana?;weather;check_weather;place, date
1107;Terei que coller a chaqueta para hoxe pola tarde?;weather;check_weather;place, date
1108;Poñemos sombreiro para hoxe ou dan nubrado?;weather;check_weather;place, date
1109;Sairá o sol hoxe pola tarde?;weather;check_weather;place, date
1110;Dime se sairá o sol en Padrón;weather;check_weather;place, date
1111;Que días chove esta semana?;weather;check_weather;place, date
1112;Para cando dan choiva?;weather;check_weather;place, date
1113;Sabes se vai parar de chover nalgún momento do día?;weather;check_weather;place, date
1114;Poderei tender a roupa nalgún momento da tarde?;weather;check_weather;place, date
1115;Terei que coller paraugas hoxe?;weather;check_weather;place, date
1116;O día está nubrado, collo ou non collo paraugas?;weather;check_weather;place, date
1117;Fará bo día para ir andando mañá?;weather;check_weather;place, date
1118;Cando parará de chover?;weather;check_weather;place, date
1119;Cando soben as temperaturas?;weather;check_weather;place, date
1120;Baixan moito as temperaturas esta semana?;weather;check_weather;place, date
1121;Están caendo chuzos de punta, cando parará?;weather;check_weather;
1122;Teremos treboadas esta tarde?;weather;check_weather;date
1123;Sabes se despexará a brétema na praia para a tarde?;weather;check_weather;place, date
1124;Desaparecerá a borraxeira para o serán de hoxe?;weather;check_weather;date
1125;Estou ata as orellas de tanta choiva, cando vai parar?;weather;check_weather;
1126;Que día desta semana fará sol?;weather;check_weather;date
1127;Cando escampará?;weather;check_weather;
1128;Sabes se esta semana teremos orballeira?;weather;check_weather;date
1129;Cando comezan as xeadas pola noite?;weather;check_weather;date
1130;Onde dan neve esta fin de semana en Ourense?;weather;check_weather;place, date
1131;Esta semana, nevará ou será auganeve?;weather;check_weather;date
1132;Quero saber se esta neboeira despexará nalgún momento do día;weather;check_weather;date
1133;Parece que entra tormenta, haberá tronos e raios?;weather;check_weather;
1134;Teremos lóstregos esta noite?;weather;check_weather;date
1135;Leva todo o día chovendo sen amizar, cando delampará?;weather;check_weather;
1136;Vai albadear hoxe ou mañá na costa?;weather;check_weather;place, date
1137;Que día chegará a tempestade?;weather;check_weather;
1138;Precisarei do paraugas hoxe?;weather;check_weather;date
1139;É preciso que saia con paraugas de casa?;weather;check_weather;
1140;Que día amaina o temporal?;weather;check_weather;
1141;Dan chuvia?;weather;check_weather;
1142;Choverá hoxe?;weather;check_weather;
1143;E hoxe ten previsto chover?;weather;check_weather;
1144;Sabes se dan chuvias pola tarde?;weather;check_weather;
1145;Pola mañá fará bo tempo?;weather;check_weather;
1146;Cando veñen as choivas?;weather;check_weather;
1147;Necesito paraugas hoxe?;weather;check_weather;
1148;Poderei tender fóra mañá?;weather;check_weather;
1149;Collo ou non collo o chuvasqueiro?;weather;check_weather;
1150;A que hora parará de chover?;weather;check_weather;
1151;Cal é a previsión meteorolóxica?;weather;check_weather;
1152;Dan vento hoxe?;weather;check_weather;
1153;A que hora vai chover?;weather;check_weather;
1154;Que temperatura fai?;weather;check_weather;
1155;Fai frío?;weather;check_weather;
1156;Está a chover?;weather;check_weather;
1157;Que tempo vai facer en Galicia?;weather;check_weather;
1158;Dime o tempo en Galicia;weather;check_weather;
1159;Dime o tempo en Galiza esta semana;weather;check_weather;
1160;Haberá orballo ao amencer?;weather;check_weather;place, date
1161;Como vai estar o tempo en Ames estes días?;weather;check_weather;place, date
1162;Dan choiva pola tarde?;weather;check_weather;place, date
1163;Quero saber o tempo;weather;check_weather;place, date
1164;Cales son as temperaturas máximas para hoxe?;weather;check_weather;place, date
1165;Fará moita calor mañá?;weather;check_weather;place, date
1166;Pódesme dicir as mínimas na Cañiza a fin de semana?;weather;check_weather;place, date
1167;Que mínimas dan para esta tarde?;weather;check_weather;place, date
1168;Que tempo vai facer en Arzúa?;weather;check_weather;place, date
1169;Haberá algo de orballo pola mañá cedo?;weather;check_weather;place, date
1170;Cantos graos temos agora?;weather;check_weather;
1171;Que temperatura fai agora?;weather;check_weather;place, date
1172;Como está o tempo en Cedeira?;weather;check_weather;place, date
1173;Dan choiva no Rosal?;weather;check_weather;place, date
1174;Cando escampa en Rivadavia?;weather;check_weather;place, date
1175;Esta fin de semana dan bo na Illa de Arousa?;weather;check_weather;place, date
1176;Que tempo dan en Culleredo?;weather;check_weather;place, date
1177;Cal é o tempo en Cambre?;weather;check_weather;place, date
1178;Dime o tempo en Noia;weather;check_weather;place, date
1179;Dime que tempo vai facer en Fene;weather;check_weather;place, date
1180;Quero saber que tempo vai facer en Sada;weather;check_weather;place, date
1181;Dime o tempo que fará esta semana en Rianxo;weather;check_weather;place, date
1182;Dime o tempo en Muros;weather;check_weather;place, date
1183;Vai chover en Padrón?;weather;check_weather;place, date
1184;Cales van ser a máximas en Pontedeume?;weather;check_weather;place, date
1185;Dime o tempo en Vigo;weather;check_weather;place, date
1186;Dime o tempo en Redondela;weather;check_weather;place, date
1187;Quero saber o tempo en Cangas;weather;check_weather;place, date
1188;Dime o clima en Marín;weather;check_weather;place, date
1189;Chove en Lalín?;weather;check_weather;place, date
1190;Que tempo vai facer hoxe en Moaña?;weather;check_weather;place, date
1191;Dime o tempo en Sanxenxo;weather;check_weather;place, date
1192;Que frío fai no Grove?;weather;check_weather;place, date
1193;Quero que me digas o tempo desta semana en Salvaterra do Miño;weather;check_weather;place, date
1194;Dime o tempo no Carballiño;weather;check_weather;place, date
1195;Dime as máximas desta semana en Verín;weather;check_weather;place, date
1196;Estará despexado no Barco de Valdeorras?;weather;check_weather;place, date
1197;En Xinzo de Limia, que tempo vai?;weather;check_weather;place, date
1198;Que tempo vai en Celanova?;weather;check_weather;place, date
1199;Quero saber o tempo en San Cibrao das Viñas;weather;check_weather;place, date
1200;Dime se hoxe hai néboa en Ribadavia;weather;check_weather;place, date
1201;Fai sol en Allariz?;weather;check_weather;place, date
1202;Dime o tempo que vai en Barbadás;weather;check_weather;place, date
1203;Vai frío en Lugo?;weather;check_weather;place, date
1204;Dime o tempo en Monforte de Lemos;weather;check_weather;place, date
1205;Como vai o tempo en Viveiro?;weather;check_weather;place, date
1206;Chove en Sarria?;weather;check_weather;place, date
1207;Quero saber o tempo en Meira;weather;check_weather;place, date
1208;Quero saber as temperaturas en Burela;weather;check_weather;place, date
1209;Dime as mínimas de Chantada;weather;check_weather;place, date
1210;Que tempo vai en Guitiriz?;weather;check_weather;place, date
1211;Dan bo esta semana en Vilalba?;weather;check_weather;place, date
1212;Dime o tempo en Mondoñedo;weather;check_weather;place, date
1213;Dime o tempo que irá esta fin de semana;weather;check_weather;place, date
1214;Dime o tempo que vai agora en Pontevedra;weather;check_weather;place, date
1215;Quero que me digas o tempo en Becerreá;weather;check_weather;place, date
1216;Que tempo vai?;weather;check_weather;place, date
1217;Dime o tempo que vai agora mesmo;weather;check_weather;place, date
1218;Quero saber que tempo vai;weather;check_weather;place, date
1219;Dime o clima de hoxe;weather;check_weather;place, date
1220;Quero saber as mínimas aquí;weather;check_weather;place, date
